food item,Calories,Sodium(mg),Total Fat(g),Potassium(mg),Saturated(g),Total Carbs(g),Polyunsaturated(g),Dietary Fiber(g),Monounsaturated(g),Sugars(g),Trans(g),Protein(g),Cholesterol(mg)
Trader Joe's - Island Soyaki,12235,13209,523,14345,181,684,15,76,195,38,29,1084,2905
Generic - Zuchinni,410,1397,33,794,11,16,5,3,2,4,1,13,50
Generic - Homefries,2075,7441,115,190,40,198,1,8,10,55,15,175,405
Cantaloupe - Generic,1441,2443,33,4694,8,231,1,22,8,26,1,58,89
Tisdale - Pink Moscsto,885,1437,37,842,14,86,3,12,11,5,1,50,101
Full Strength Llc - Full Strength - Chocolate,2600,7735,71,8491,25,281,2,66,28,92,5,196,383
Rewe - ulaschsuppe,2825,8305,197,1019,27,90,24,15,19,14,2,157,601
Boston Pizza (Canada) - Boston Royal Pizza,2215,4113,119,3870,49,96,3,18,46,18,17,182,546
Boston's the ourmet Pizza - Caesar Salad With Salmon,548,1325,33,453,16,23,1,1,8,3,1,42,122
"Mikkeller - Peter, Pale and Mary (Estimated)",420,525,28,525,6,28,8,14,8,14,6,7,0
eneric - Clementime,1441,2443,33,4694,8,231,1,22,8,26,1,58,89
eneric - Tanarine,410,1397,33,794,11,16,5,3,2,4,1,13,50
Dr Oetkers Spinach Pizza - Spinach Pizza,2404,3887,176,914,87,153,5,19,19,9,7,66,575
Dr Oetker - Milchreis - Klassische Art,639,347,27,485,9,69,2,15,10,17,1,20,28
Dr. Oetker - ötterspeise Waldmeister,474,537,37,463,10,9,11,1,14,5,2,25,676
Maille - Hollandaise,512,1701,30,709,10,33,4,2,9,7,1,28,76
eneric - Cleentie,1441,2443,33,4694,8,231,1,22,8,26,1,58,89
ad reens - Southwest rilled Chicken,535,978,29,536,9,59,4,14,3,16,1,18,30
ad reens - Chicken Tortilla Soup,1808,2013,32,2718,11,308,3,46,10,29,1,80,30
Mad reens - Southwest rilled Chicken,535,978,29,536,9,59,4,14,3,16,1,18,30
Mad reens - Chicken Tortilla Soup,1808,2013,32,2718,11,308,3,46,10,29,1,80,30
Ashoka - Veetable Kathi Roll,473,1287,19,1310,6,45,3,4,8,25,1,29,77
Rewe - Lachsfilet,951,853,17,868,3,180,6,27,8,15,1,62,0
eneric - Raseberries,2075,7441,115,190,40,198,1,8,10,55,15,175,405
"Ivar's Seafood Bar - Cla Chowder, Red",486,226,15,1910,3,80,4,6,4,5,3,10,3
Harris Teeter - Pot Roast,7320,678,271,4975,38,1144,137,112,66,439,1,159,860
Harris Teeter Naturals - Oranic Dried Cranberries,3683,2998,245,3692,94,129,9,5,104,52,14,223,1015
Fabulous food copany - ilk chocolate ini pretzel,2030,4107,65,2533,30,211,1,12,13,49,1,139,349
The fabulous food copany - Festive shortbread assortent,1698,3581,30,150,5,351,9,36,4,87,1,38,1
Fabulous Food  Copany - Luxury ini Cherry and Alond Topped Christas Puddin,1265,423,75,1492,27,27,4,4,33,1,5,114,577
The fabulous food copany - Handade carael cookies and crea fude,2794,1070,148,108,68,336,8,36,4,240,12,71,0
